ontology,root,fragment,text,statements,llm_used
envo,http://purl.obolibrary.org/obo/ENVO_03400001,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:area_of_alpine_tundra rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :has_quality ;
            owl:someValuesFrom :alpine ],
        :area_of_tundra ;
    :has_definition ""An area of tundra which is present in a region subject to alpine conditions."" .

",The area of alpine tundra is a specific type of tundra area and is characterized as an entity that possesses to some extent the quality of being alpine. It is defined as an area of tundra present in a region subject to alpine conditions.,3,True
envo,http://purl.obolibrary.org/obo/ENVO_03400002,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:area_of_polar_tundra rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :has_quality ;
            owl:someValuesFrom :polar ],
        :area_of_tundra ;
    :has_definition ""An area of tundra which is present in a region subject to polar conditions."" .

",The area of polar tundra is a type of tundra area and is classified as something that possesses at least some polar qualities. It is defined as an area of tundra which is present in a region subject to polar conditions.,3,True
envo,http://purl.obolibrary.org/obo/ENVO_03400003,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:snow_cover rdfs:subClassOf :area_density ;
    :has_definition ""An area density which inheres in snow distributed over an area of a landmass or other substrate.""@en .

",Snow cover is a type of area density and is defined as an area density which inheres in snow distributed over an area of a landmass or other substrate.,2,True
envo,http://purl.obolibrary.org/obo/ENVO_03400004,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:heavy_snowfall rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :has_quality ;
            owl:someValuesFrom :increased_rate ],
        :snowfall ;
    owl:equivalentClass [ owl:intersectionOf [ rdf:first :snowfall ;
                    rdf:rest [ rdf:first [ a owl:Restriction ;
                                    owl:onProperty :has_quality ;
                                    owl:someValuesFrom :increased_rate ] ;
                            rdf:rest :nil ] ] ] ;
    :has_definition ""Snowfall which has an increased rate.""@en ;
    :has_exact_synonym ""intense snowfall""@en ;
    :has_related_synonym ""heavy snow""@en,
        ""intense snow""@en .

","Heavy snowfall is defined as snowfall that has an increased rate and is the same as something that intersects between snowfall and something that has at least some increased rate. It is a type of snowfall and also a type of something that has at least some increased rate. Additionally, heavy snowfall is exactly synonymous with intense snowfall and has related synonyms including heavy snow and intense snow.",7,True
envo,http://purl.obolibrary.org/obo/ENVO_03400005,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:ice_pellet rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :has_quality ;
            owl:someValuesFrom [ owl:unionOf [ rdf:first :spherical ;
                            rdf:rest [ rdf:first :cylindrical ;
                                    rdf:rest :nil ] ] ] ],
        [ a owl:Restriction ;
            owl:onProperty :has_quality ;
            owl:someValuesFrom [ owl:unionOf [ rdf:first :transparent ;
                            rdf:rest [ rdf:first :translucent ;
                                    rdf:rest :nil ] ] ] ],
        :ice_mass ;
    :has_definition ""An ice mass which is 1) transparent or translucent, 2) rounded, spherically, or cylindrically shaped, and 3) less than 5 milimetres in diameter.""@en ;
    :has_related_synonym ""grain of ice""@en,
        ""ice grain""@en,
        ""sleet""@en,
        ""small hail""@en .

","An ice pellet is a type of ice mass characterized by specific qualities. It is described as being at least partially transparent or translucent, and its shape can either be spherical or cylindrical. The definition of an ice pellet further clarifies it as an ice mass that is 1) transparent or translucent, 2) rounded, spherically, or cylindrically shaped, and 3) less than 5 millimeters in diameter. Furthermore, ice pellet is synonymously related to terms such as grain of ice, ice grain, sleet, and small hail, indicating the different nomenclatures used to describe this form of precipitation.",8,True
envo,http://purl.obolibrary.org/obo/ENVO_03400006,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:lake_effect_snowfall rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :has_participant ;
            owl:someValuesFrom :lake ],
        [ a owl:Restriction ;
            owl:onProperty :has_part ;
            owl:someValuesFrom :material_warming_process ],
        [ a owl:Restriction ;
            owl:onProperty :has_participant ;
            owl:someValuesFrom [ owl:intersectionOf [ rdf:first :air_mass ;
                            rdf:rest [ rdf:first [ a owl:Restriction ;
                                            owl:onProperty :has_quality ;
                                            owl:someValuesFrom :dry ] ;
                                    rdf:rest :nil ] ] ] ],
        [ a owl:Restriction ;
            owl:onProperty :has_participant ;
            owl:someValuesFrom [ owl:intersectionOf [ rdf:first :air_mass ;
                            rdf:rest [ rdf:first [ a owl:Restriction ;
                                            owl:onProperty :has_quality ;
                                            owl:someValuesFrom :decreased_temperature ] ;
                                    rdf:rest :nil ] ] ] ],
        :snowfall ;
    :has_definition ""Snowfall which 1) is localized, 2) is convective, and 3) occurs as a result of a cold, dry air mass absorbing heat and moisture as it flows over a lake with warmer waters.""@en ;
    :has_exact_synonym ""lake effect snow""@en,
        ""lake-effect snow""@en .

","Lake effect snowfall is a type of snowfall characterized by several key factors. It occurs when a cold, dry air mass moves over warmer lake waters, absorbing heat and moisture which then leads to snowfall. This process involves a material warming process and includes the participation of lakes. Additionally, it involves air masses that have qualities of decreased temperature and dryness. Lake effect snowfall is defined as snowfall that is localized, convective, and occurs as a result of this specific interaction between the air mass and the lake. It is also known by the exact synonyms ""lake effect snow"" and ""lake-effect snow.""",8,True
envo,http://purl.obolibrary.org/obo/ENVO_03400007,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:lake_effect_snow_storm rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :has_part ;
            owl:someValuesFrom [ owl:intersectionOf [ rdf:first :lake_effect_snowfall ;
                            rdf:rest [ rdf:first [ a owl:Restriction ;
                                            owl:onProperty :has_quality ;
                                            owl:someValuesFrom :increased_rate ] ;
                                    rdf:rest :nil ] ] ] ],
        :snowstorm ;
    :has_definition ""A snowstorm during which intense lake-effect snowfall occurs.""@en ;
    :has_exact_synonym ""lake effect snow storm""@en .

","A lake effect snow storm is a type of snowstorm which is characterized by having a part that intersects with lake effect snowfall and an increased rate. It is defined as a snowstorm during which intense lake-effect snowfall occurs. Additionally, ""lake effect snow storm"" is an exact synonym for itself.",4,True
envo,http://purl.obolibrary.org/obo/ENVO_03400008,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:lambing_storm rdfs:subClassOf :snowfall ;
    :has_definition ""A snowfall which occurs during springtime and is of low intensity.""@en ;
    :has_exact_synonym ""lamb storm""@en,
        ""lamb-blasts""@en,
        ""lamb-showers""@en .

","A lambing storm is a type of snowfall, defined as a snowfall that occurs during springtime and is of low intensity. It has exact synonyms including lamb storm, lamb-blasts, and lamb-showers.",5,True
envo,http://purl.obolibrary.org/obo/ENVO_03400009,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:falling_sleet rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :has_member ;
            owl:someValuesFrom :water_ice_crystal ],
        [ a owl:Restriction ;
            owl:onProperty :participates_in ;
            owl:someValuesFrom [ owl:intersectionOf [ rdf:first :freezing_of_water_into_water_ice ;
                            rdf:rest [ rdf:first :thawing_process ;
                                    rdf:rest :nil ] ] ] ],
        [ a owl:Restriction ;
            owl:onProperty :has_member ;
            owl:someValuesFrom :water_droplet ],
        [ a owl:Restriction ;
            owl:onProperty :has_member ;
            owl:someValuesFrom :sleet_pellet ],
        :object_aggregate ;
    :has_broad_synonym ""sleet""@en ;
    :has_definition ""An object aggregate which is primarily composed of particles of water in liquid, frozen, or partially frozen states.""@en .

","Falling sleet is an object aggregate that is primarily defined as an aggregate composed of particles of water in liquid, frozen, or partially frozen states. This type of aggregate at least participates in processes that include the intersection of the freezing of water into water ice and the thawing process. Moreover, it at least has members such as water droplets, water ice crystals, and sleet pellets. Additionally, falling sleet is broadly synonymous with sleet.",7,True
envo,http://purl.obolibrary.org/obo/ENVO_03400010,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:freezing_rain rdfs:subClassOf :water_based_rain ;
    :has_definition ""Water-based rain which is composed of supercooled water droplets, which freeze on contact with surfaces.""@en .

","Freezing rain is a type of water-based rain, defined as water-based rain composed of supercooled water droplets, which freeze on contact with surfaces.",2,True
