ontology,root,fragment,text,statements,llm_used
envo,http://purl.obolibrary.org/obo/ENVO_01000639,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:planetary_structural_layer rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :part_of ;
            owl:someValuesFrom :planet ],
        :layer ;
    :has_definition ""A planetary structural layer is laminar part of a terrestrial planet or other rocky body large enough to have differentiation by density. Planetary layers have differing physicochemical properties and composition."" .

","A planetary structural layer is a layer in the Earth's interior that has different properties and composition than the layers above it. These layers are defined by their physicochemical properties, such as density and temperature, and their composition, which includes elements like iron and silicon. The Earth's interior is divided into several layers, including the mantle, the outer core, the inner core, and the lower mantle. Each layer has its own unique characteristics and plays a role in the Earth's overall structure and functioning.",3,True
envo,http://purl.obolibrary.org/obo/ENVO_01000640,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:planetary_mantle rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :adjacent_to ;
            owl:someValuesFrom :planetary_crust ],
        :planetary_structural_layer ;
    :has_broad_synonym ""mantle"" ;
    :has_definition ""A planetary mantle is a planetary layer which is an interior part of a terrestrial planet or other rocky body large enough to have differentiation by density."" .

","The planetary mantle is a layer of the Earth that lies between the crust and the outer core. It is primarily composed of solid rock, and it is the thickest layer of the Earth. The mantle is responsible for many of the Earth's tectonic processes, including the formation of continents and the movement of tectonic plates. It also plays a role in the Earth's climate and weather patterns.",4,True
envo,http://purl.obolibrary.org/obo/ENVO_01000641,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:planetary_core rdfs:subClassOf :planetary_structural_layer ;
    :has_broad_synonym ""core"" ;
    :has_definition ""A planetary core is the innermost structural layer or layers of a planet. The core may be entirely liquid, entirely solid, or have both liquid and solid parts."" .

","planetary core is the central part of a planet made up mostly of iron and nickel. It is surrounded by the mantle, which is made up of rock and silicate materials, and the crust, which is the outermost layer of the planet and is primarily composed of solid rocks and minerals. The core plays a vital role in the planet's magnetic field and its ability to rotate on its axis.",3,True
envo,http://purl.obolibrary.org/obo/ENVO_01000642,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:outer_planetary_core rdfs:subClassOf :planetary_core .

",outer planetary core is a type of planetary core.,1,False
envo,http://purl.obolibrary.org/obo/ENVO_01000643,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:inner_planetary_core rdfs:subClassOf :planetary_core .

",inner planetary core is a type of planetary core.,1,False
envo,http://purl.obolibrary.org/obo/ENVO_01000644,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:liquid_planetary_core rdfs:subClassOf :liquid_layer,
        :planetary_core ;
    :has_definition ""A liquid planetary core is a planetary core which is primarily composed of liquid material."" .

",A liquid planetary core is a type of planetary core that is primarily composed of liquid material.,3,True
envo,http://purl.obolibrary.org/obo/ENVO_01000645,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:solid_planetary_core rdfs:subClassOf :planetary_core,
        :solid_layer ;
    :has_definition ""A solid planetary core is a planetary core which is primarily composed of solid material."" .

",A solid planetary core is a type of planetary core that is primarily composed of solid material.,3,True
envo,http://purl.obolibrary.org/obo/ENVO_01000646,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:lithosphere rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :has_part ;
            owl:someValuesFrom :planetary_crust ],
        [ a owl:Restriction ;
            owl:onProperty :has_quality ;
            owl:someValuesFrom :inflexible ],
        [ a owl:Restriction ;
            owl:onProperty :has_part ;
            owl:someValuesFrom [ a owl:Restriction ;
                    owl:onProperty :part_of ;
                    owl:someValuesFrom [ owl:intersectionOf [ rdf:first :planetary_mantle ;
                                    rdf:rest [ rdf:first [ a owl:Restriction ;
                                                    owl:onProperty :has_quality ;
                                                    owl:someValuesFrom :quality_of_a_solid ] ;
                                            rdf:rest :nil ] ] ] ] ],
        :planetary_structural_layer,
        :solid_layer ;
    :has_definition ""A lithosphere is the outermost shell of a terrestrial-type planet or natural satellite that is defined by its rigid mechanical properties."" .

",A lithosphere is the outermost shell of a terrestrial-type planet or natural satellite that is defined by its rigid mechanical properties.,6,True
envo,http://purl.obolibrary.org/obo/ENVO_01000647,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:asthenosphere rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :has_quality ;
            owl:someValuesFrom :viscous ],
        [ a owl:Restriction ;
            owl:onProperty :adjacent_to ;
            owl:someValuesFrom :lithosphere ],
        [ a owl:Restriction ;
            owl:onProperty :has_quality ;
            owl:someValuesFrom :decreased_strength ],
        :planetary_structural_layer ;
    :has_definition ""An asthenosphere is a layer of a terrestrial-type planet or natural satellite which is highly viscous, mechanically weak, and ductilely deforming."" .

","The asthenosphere is a layer of the Earth's interior that lies beneath the lithosphere and is characterized by its high viscosity, mechanical weakness, and ductility. It is responsible for most of the Earth's seismic activity and plays an important role in the dynamics of the planet's interior. The term ""asthenosphere"" comes from the Greek word ""astheno,"" which means ""strong"" or ""unyielding,"" and is a reference to the fact that this layer is characterized by its mechanical weakness and inability to withstand stress.",5,True
envo,http://purl.obolibrary.org/obo/ENVO_01000648,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:magma rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :composed_primarily_of ;
            owl:someValuesFrom [ owl:intersectionOf [ rdf:first :environmental_material ;
                            rdf:rest [ rdf:first [ a owl:Restriction ;
                                            owl:onProperty :has_quality ;
                                            owl:someValuesFrom :quality_of_a_liquid ] ;
                                    rdf:rest :nil ] ] ] ],
        [ a owl:Restriction ;
            owl:onProperty :located_in ;
            owl:someValuesFrom :planetary_structural_layer ],
        [ a owl:Restriction ;
            owl:onProperty :has_quality ;
            owl:someValuesFrom :increased_temperature ],
        :environmental_material ;
    :has_definition ""Magma is a mixture of molten or semi-molten rock, volatiles, and solids that is found beneath the uppermost solid layer of a planetary body. Besides molten rock, magma may also contain suspended crystals, dissolved gas and sometimes gas bubbles."" .

","Magma is a type of environmental material that is composed primarily of molten or semi-molten rock, volatiles, and solids. It is found beneath the uppermost solid layer of a planetary body, and may contain suspended crystals, dissolved gas, and sometimes gas bubbles.",5,True
